Housing type,Energy performance,Heating energy,Occupancy status,Income owner,Income tenant,Stock buildings
Multi-family,F,Wood fuel,Privately rented,D1,D1,10.994009247985515
Multi-family,F,Wood fuel,Privately rented,D10,D1,69.648511245045
Multi-family,F,Wood fuel,Privately rented,D2,D1,9.341727090877876
Multi-family,F,Wood fuel,Privately rented,D3,D1,9.928619913211065
Multi-family,F,Wood fuel,Privately rented,D4,D1,9.744650622585379
Multi-family,F,Wood fuel,Privately rented,D5,D1,12.27498337343604
Multi-family,F,Wood fuel,Privately rented,D6,D1,14.293520454864819
Multi-family,F,Wood fuel,Privately rented,D7,D1,19.449380112603404
Multi-family,F,Wood fuel,Privately rented,D8,D1,25.4669838302428
Multi-family,F,Wood fuel,Privately rented,D9,D1,38.84130409911211
Single-family,F,Oil fuel,Privately rented,D1,D1,562.4126966717384
Single-family,F,Oil fuel,Privately rented,D10,D1,1654.8218831007018
Single-family,F,Oil fuel,Privately rented,D2,D1,443.12728612934944
Single-family,F,Oil fuel,Privately rented,D3,D1,559.0749194343028
Single-family,F,Oil fuel,Privately rented,D4,D1,483.71880458552357
Single-family,F,Oil fuel,Privately rented,D5,D1,547.5928502743602
Single-family,F,Oil fuel,Privately rented,D6,D1,635.1407055021117
Single-family,F,Oil fuel,Privately rented,D7,D1,645.1728681105972
Single-family,F,Oil fuel,Privately rented,D8,D1,854.6444857571008
Single-family,F,Oil fuel,Privately rented,D9,D1,987.4204087596169
Single-family,F,Wood fuel,Privately rented,D1,D1,234.88623693885017
Single-family,F,Wood fuel,Privately rented,D10,D1,691.1203947311558
Single-family,F,Wood fuel,Privately rented,D2,D1,185.06783602113217
Single-family,F,Wood fuel,Privately rented,D3,D1,233.49224647654205
Single-family,F,Wood fuel,Privately rented,D4,D1,202.0204921013158
Single-family,F,Wood fuel,Privately rented,D5,D1,228.69687106412547
Single-family,F,Wood fuel,Privately rented,D6,D1,265.26038818990645
Single-family,F,Wood fuel,Privately rented,D7,D1,269.45022411895053
Single-family,F,Wood fuel,Privately rented,D8,D1,356.9340243703493
Single-family,F,Wood fuel,Privately rented,D9,D1,412.38660766852905
Multi-family,F,Oil fuel,Privately rented,D1,D2,83.06737314024359
Multi-family,F,Oil fuel,Privately rented,D10,D2,523.2292601842937
Multi-family,F,Oil fuel,Privately rented,D2,D2,65.95624166429032
Multi-family,F,Oil fuel,Privately rented,D3,D2,66.07397077826035
Multi-family,F,Oil fuel,Privately rented,D4,D2,53.97553594755824
Multi-family,F,Oil fuel,Privately rented,D5,D2,86.96857764404155
Multi-family,F,Oil fuel,Privately rented,D6,D2,105.46079975184655
Multi-family,F,Oil fuel,Privately rented,D7,D2,129.95063452932393
Multi-family,F,Oil fuel,Privately rented,D8,D2,195.00126036287605
Multi-family,F,Oil fuel,Privately rented,D9,D2,292.91151691952984
Multi-family,F,Wood fuel,Privately rented,D1,D2,7.271313256948854
Multi-family,F,Wood fuel,Privately rented,D10,D2,45.80094099735534
Multi-family,F,Wood fuel,Privately rented,D2,D2,5.773488148979767
Multi-family,F,Wood fuel,Privately rented,D3,D2,5.783793582205564
Multi-family,F,Wood fuel,Privately rented,D4,D2,4.724755523733524
Multi-family,F,Wood fuel,Privately rented,D5,D2,7.612805698014043
Multi-family,F,Wood fuel,Privately rented,D6,D2,9.231524753158718
Multi-family,F,Wood fuel,Privately rented,D7,D2,11.375245609448651
Multi-family,F,Wood fuel,Privately rented,D8,D2,17.069460559495887
Multi-family,F,Wood fuel,Privately rented,D9,D2,25.640047537004975
Single-family,F,Oil fuel,Privately rented,D1,D2,495.8784454262822
Single-family,F,Oil fuel,Privately rented,D10,D2,1681.8431280639531
Single-family,F,Oil fuel,Privately rented,D2,D2,455.55951736663053
Single-family,F,Oil fuel,Privately rented,D3,D2,346.696679321115
Single-family,F,Oil fuel,Privately rented,D4,D2,488.497425194969
Single-family,F,Oil fuel,Privately rented,D5,D2,557.8277239765188
Single-family,F,Oil fuel,Privately rented,D6,D2,607.5957431714629
Single-family,F,Oil fuel,Privately rented,D7,D2,750.3998385975356
Single-family,F,Oil fuel,Privately rented,D8,D2,925.880108461836
Single-family,F,Oil fuel,Privately rented,D9,D2,1246.7081395494897
Single-family,F,Wood fuel,Privately rented,D1,D2,207.09884878941307
Single-family,F,Wood fuel,Privately rented,D10,D2,702.405557005018
Single-family,F,Wood fuel,Privately rented,D2,D2,190.2600374585456
Single-family,F,Wood fuel,Privately rented,D3,D2,144.79452339331246
Single-family,F,Wood fuel,Privately rented,D4,D2,204.01623689753652
Single-family,F,Wood fuel,Privately rented,D5,D2,232.97136732580495
Single-family,F,Wood fuel,Privately rented,D6,D2,253.75650041006722
Single-family,F,Wood fuel,Privately rented,D7,D2,313.3972531750504
Single-family,F,Wood fuel,Privately rented,D8,D2,386.68489495369425
Single-family,F,Wood fuel,Privately rented,D9,D2,520.6756269777677
Multi-family,F,Oil fuel,Privately rented,D1,D3,58.09179099765897
Multi-family,F,Oil fuel,Privately rented,D10,D3,489.903198215399
Multi-family,F,Oil fuel,Privately rented,D2,D3,45.041567770188585
Multi-family,F,Oil fuel,Privately rented,D3,D3,54.32593770234463
Multi-family,F,Oil fuel,Privately rented,D4,D3,60.47401270231614
Multi-family,F,Oil fuel,Privately rented,D5,D3,69.05332889044737
Multi-family,F,Oil fuel,Privately rented,D6,D3,92.83643086486147
Multi-family,F,Oil fuel,Privately rented,D7,D3,132.87444366108775
Multi-family,F,Oil fuel,Privately rented,D8,D3,160.6815175984717
Multi-family,F,Oil fuel,Privately rented,D9,D3,279.46687421257826
Multi-family,F,Wood fuel,Privately rented,D1,D3,5.085072442197383
Multi-family,F,Wood fuel,Privately rented,D10,D3,42.88373985043567
Multi-family,F,Wood fuel,Privately rented,D2,D3,3.9427194632505276
Multi-family,F,Wood fuel,Privately rented,D3,D3,4.75542798668158
Multi-family,F,Wood fuel,Privately rented,D4,D3,5.29360052737976
Multi-family,F,Wood fuel,Privately rented,D5,D3,6.0445920800919515
Multi-family,F,Wood fuel,Privately rented,D6,D3,8.126448989012818
Multi-family,F,Wood fuel,Privately rented,D7,D3,11.631181620145522
Multi-family,F,Wood fuel,Privately rented,D8,D3,14.065277435556592
Multi-family,F,Wood fuel,Privately rented,D9,D3,24.46316899788291
Single-family,F,Oil fuel,Privately rented,D1,D3,375.79808117551795
Single-family,F,Oil fuel,Privately rented,D10,D3,2085.5790463622893
Single-family,F,Oil fuel,Privately rented,D2,D3,468.0526739296268
Single-family,F,Oil fuel,Privately rented,D3,D3,537.7896863186137
Single-family,F,Oil fuel,Privately rented,D4,D3,397.9310175326412
Single-family,F,Oil fuel,Privately rented,D5,D3,547.9638534116823
Single-family,F,Oil fuel,Privately rented,D6,D3,579.3994333876133
Single-family,F,Oil fuel,Privately rented,D7,D3,855.086199190625
Single-family,F,Oil fuel,Privately rented,D8,D3,1027.0909712883865
Single-family,F,Oil fuel,Privately rented,D9,D3,1289.2535174488864
Single-family,F,Wood fuel,Privately rented,D1,D3,156.94844312463684
Single-family,F,Wood fuel,Privately rented,D10,D3,871.0219682762194
Single-family,F,Wood fuel,Privately rented,D2,D3,195.4776837704724
Single-family,F,Wood fuel,Privately rented,D3,D3,224.6026742131539
Single-family,F,Wood fuel,Privately rented,D4,D3,166.19205046866887
Single-family,F,Wood fuel,Privately rented,D5,D3,228.85181694520853
Single-family,F,Wood fuel,Privately rented,D6,D3,241.9805836502148
Single-family,F,Wood fuel,Privately rented,D7,D3,357.1185017244699
Single-family,F,Wood fuel,Privately rented,D8,D3,428.9546353904721
Single-family,F,Wood fuel,Privately rented,D9,D3,538.4442936047294
Multi-family,F,Oil fuel,Privately rented,D1,D4,52.90838514468137
Multi-family,F,Oil fuel,Privately rented,D10,D4,484.96447600609827
Multi-family,F,Oil fuel,Privately rented,D2,D4,42.439731563077736
Multi-family,F,Oil fuel,Privately rented,D3,D4,45.023901192111936
Multi-family,F,Oil fuel,Privately rented,D4,D4,56.40261094121498
Multi-family,F,Oil fuel,Privately rented,D5,D4,67.1831144737057
Multi-family,F,Oil fuel,Privately rented,D6,D4,81.47094773392615
Multi-family,F,Oil fuel,Privately rented,D7,D4,113.74925471398119
Multi-family,F,Oil fuel,Privately rented,D8,D4,167.08148582781706
Multi-family,F,Oil fuel,Privately rented,D9,D4,248.34457124999562
Multi-family,F,Wood fuel,Privately rented,D1,D4,4.63134234011182
Multi-family,F,Wood fuel,Privately rented,D10,D4,42.45142816276201
Multi-family,F,Wood fuel,Privately rented,D2,D4,3.7149673941772243
Multi-family,F,Wood fuel,Privately rented,D3,D4,3.941173017052491
Multi-family,F,Wood fuel,Privately rented,D4,D4,4.937209847372602
Multi-family,F,Wood fuel,Privately rented,D5,D4,5.880882619112231
Multi-family,F,Wood fuel,Privately rented,D6,D4,7.131569952425576
Multi-family,F,Wood fuel,Privately rented,D7,D4,9.957055730815156
Multi-family,F,Wood fuel,Privately rented,D8,D4,14.625499482683601
Multi-family,F,Wood fuel,Privately rented,D9,D4,21.73887418075247
Single-family,F,Oil fuel,Privately rented,D1,D4,288.3011716835852
Single-family,F,Oil fuel,Privately rented,D10,D4,1879.1519194369307
Single-family,F,Oil fuel,Privately rented,D2,D4,363.98679374484294
Single-family,F,Oil fuel,Privately rented,D3,D4,513.9988219778054
Single-family,F,Oil fuel,Privately rented,D4,D4,459.558983062747
Single-family,F,Oil fuel,Privately rented,D5,D4,461.573968126413
Single-family,F,Oil fuel,Privately rented,D6,D4,638.1249589743549
Single-family,F,Oil fuel,Privately rented,D7,D4,712.243852597995
Single-family,F,Oil fuel,Privately rented,D8,D4,914.8650657824452
Single-family,F,Oil fuel,Privately rented,D9,D4,1266.2862098146743
Single-family,F,Wood fuel,Privately rented,D1,D4,120.40620299392609
Single-family,F,Wood fuel,Privately rented,D10,D4,784.8096702030552
Single-family,F,Wood fuel,Privately rented,D2,D4,152.01557287755264
Single-family,F,Wood fuel,Privately rented,D3,D4,214.66664924144746
Single-family,F,Wood fuel,Privately rented,D4,D4,191.9303757220417
Single-family,F,Wood fuel,Privately rented,D5,D4,192.7719147944939
Single-family,F,Wood fuel,Privately rented,D6,D4,266.50673286227084
Single-family,F,Wood fuel,Privately rented,D7,D4,297.4617737287986
Single-family,F,Wood fuel,Privately rented,D8,D4,382.08456864528404
Single-family,F,Wood fuel,Privately rented,D9,D4,528.8522191463433
Multi-family,F,Oil fuel,Privately rented,D1,D5,41.38977012062208
Multi-family,F,Oil fuel,Privately rented,D10,D5,453.02583476809133
Multi-family,F,Oil fuel,Privately rented,D2,D5,38.2196965163321
Multi-family,F,Oil fuel,Privately rented,D3,D5,31.42561305454731
Multi-family,F,Oil fuel,Privately rented,D4,D5,52.0364076752855
Multi-family,F,Oil fuel,Privately rented,D5,D5,74.18070527437231
Multi-family,F,Oil fuel,Privately rented,D6,D5,69.50608793929804
Multi-family,F,Oil fuel,Privately rented,D7,D5,105.59663828312954
Multi-family,F,Oil fuel,Privately rented,D8,D5,151.32862760895785
Multi-family,F,Oil fuel,Privately rented,D9,D5,237.8054656035602
Multi-family,F,Wood fuel,Privately rented,D1,D5,3.623058883444336
Multi-family,F,Wood fuel,Privately rented,D10,D5,39.65567506905617
Multi-family,F,Wood fuel,Privately rented,D2,D5,3.3455660802776723
Multi-family,F,Wood fuel,Privately rented,D3,D5,2.7508451052796197
Multi-family,F,Wood fuel,Privately rented,D4,D5,4.555013679492274
Multi-family,F,Wood fuel,Privately rented,D5,D5,6.4934176353536435
Multi-family,F,Wood fuel,Privately rented,D6,D5,6.084224402021204
Multi-family,F,Wood fuel,Privately rented,D7,D5,9.243415396572406
Multi-family,F,Wood fuel,Privately rented,D8,D5,13.246571000038067
Multi-family,F,Wood fuel,Privately rented,D9,D5,20.816332204206155
Single-family,F,Oil fuel,Privately rented,D1,D5,247.85134159128424
Single-family,F,Oil fuel,Privately rented,D10,D5,1585.7777590053054
Single-family,F,Oil fuel,Privately rented,D2,D5,226.8837983434204
Single-family,F,Oil fuel,Privately rented,D3,D5,346.2615921897291
Single-family,F,Oil fuel,Privately rented,D4,D5,429.54371126841806
Single-family,F,Oil fuel,Privately rented,D5,D5,563.4032230053272
Single-family,F,Oil fuel,Privately rented,D6,D5,539.8416588315275
Single-family,F,Oil fuel,Privately rented,D7,D5,599.153696405943
Single-family,F,Oil fuel,Privately rented,D8,D5,820.5224957393756
Single-family,F,Oil fuel,Privately rented,D9,D5,1059.6146880665053
Single-family,F,Wood fuel,Privately rented,D1,D5,103.51272169198826
Single-family,F,Wood fuel,Privately rented,D10,D5,662.2847823997146
Single-family,F,Wood fuel,Privately rented,D2,D5,94.75582953701283
Single-family,F,Wood fuel,Privately rented,D3,D5,144.61281345035323
Single-family,F,Wood fuel,Privately rented,D4,D5,179.3947870267856
Single-family,F,Wood fuel,Privately rented,D5,D5,235.29992070605942
Single-family,F,Wood fuel,Privately rented,D6,D5,225.45966073695135
Single-family,F,Wood fuel,Privately rented,D7,D5,250.23076102233762
Single-family,F,Wood fuel,Privately rented,D8,D5,342.6833044282878
Single-family,F,Wood fuel,Privately rented,D9,D5,442.5378519332097
Multi-family,F,Oil fuel,Privately rented,D1,D6,41.18937925297348
Multi-family,F,Oil fuel,Privately rented,D10,D6,452.2820437959608
Multi-family,F,Oil fuel,Privately rented,D2,D6,24.929924800707823
Multi-family,F,Oil fuel,Privately rented,D3,D6,29.28827628030962
Multi-family,F,Oil fuel,Privately rented,D4,D6,40.54222532767468
Multi-family,F,Oil fuel,Privately rented,D5,D6,59.63183276680403
Multi-family,F,Oil fuel,Privately rented,D6,D6,75.24531758488993
Multi-family,F,Oil fuel,Privately rented,D7,D6,95.99965893468398
Multi-family,F,Oil fuel,Privately rented,D8,D6,137.70370687004996
Multi-family,F,Oil fuel,Privately rented,D9,D6,230.1773578523424
Multi-family,F,Wood fuel,Privately rented,D1,D6,3.6055176429136555
Multi-family,F,Wood fuel,Privately rented,D10,D6,39.59056723006238
Multi-family,F,Wood fuel,Privately rented,D2,D6,2.182244193422116
Multi-family,F,Wood fuel,Privately rented,D3,D6,2.5637530541702107
Multi-family,F,Wood fuel,Privately rented,D4,D6,3.548868940319352
Multi-family,F,Wood fuel,Privately rented,D5,D6,5.2198801977446
Multi-family,F,Wood fuel,Privately rented,D6,D6,6.586608611718193
Multi-family,F,Wood fuel,Privately rented,D7,D6,8.403342567434041
Multi-family,F,Wood fuel,Privately rented,D8,D6,12.05391180006029
Multi-family,F,Wood fuel,Privately rented,D9,D6,20.148604805107837
Single-family,F,Oil fuel,Privately rented,D1,D6,183.6165412514315
Single-family,F,Oil fuel,Privately rented,D10,D6,1490.0038870288174
Single-family,F,Oil fuel,Privately rented,D2,D6,204.08173586781083
Single-family,F,Oil fuel,Privately rented,D3,D6,266.50948105017744
Single-family,F,Oil fuel,Privately rented,D4,D6,373.86023239747004
Single-family,F,Oil fuel,Privately rented,D5,D6,397.5351965180663
Single-family,F,Oil fuel,Privately rented,D6,D6,464.19156889331174
Single-family,F,Oil fuel,Privately rented,D7,D6,580.8705538692333
Single-family,F,Oil fuel,Privately rented,D8,D6,733.181229623844
Single-family,F,Oil fuel,Privately rented,D9,D6,1024.080528385823
Single-family,F,Wood fuel,Privately rented,D1,D6,76.6856770295299
Single-family,F,Wood fuel,Privately rented,D10,D6,622.2857487385835
Single-family,F,Wood fuel,Privately rented,D2,D6,85.23276812492927
Single-family,F,Wood fuel,Privately rented,D3,D6,111.30511363426628
Single-family,F,Wood fuel,Privately rented,D4,D6,156.13911927770758
Single-family,F,Wood fuel,Privately rented,D5,D6,166.02673964057942
Single-family,F,Wood fuel,Privately rented,D6,D6,193.86513050172033
Single-family,F,Wood fuel,Privately rented,D7,D6,242.59498292686035
Single-family,F,Wood fuel,Privately rented,D8,D6,306.20606725217556
Single-family,F,Wood fuel,Privately rented,D9,D6,427.6973529551947
Multi-family,F,Oil fuel,Privately rented,D1,D7,27.959851920024185
Multi-family,F,Oil fuel,Privately rented,D10,D7,468.76668740575565
Multi-family,F,Oil fuel,Privately rented,D2,D7,19.782418880065517
Multi-family,F,Oil fuel,Privately rented,D3,D7,26.77545717891227
Multi-family,F,Oil fuel,Privately rented,D4,D7,33.88631530499061
Multi-family,F,Oil fuel,Privately rented,D5,D7,51.634814665034696
Multi-family,F,Oil fuel,Privately rented,D6,D7,70.18647262155213
Multi-family,F,Oil fuel,Privately rented,D7,D7,99.64509655151033
Multi-family,F,Oil fuel,Privately rented,D8,D7,128.87815501172975
Multi-family,F,Oil fuel,Privately rented,D9,D7,227.57954779555777
Multi-family,F,Wood fuel,Privately rented,D1,D7,2.4474692558913214
Multi-family,F,Wood fuel,Privately rented,D10,D7,41.033552641598256
Multi-family,F,Wood fuel,Privately rented,D2,D7,1.7316565965590602
Multi-family,F,Wood fuel,Privately rented,D3,D7,2.343793108964565
Multi-family,F,Wood fuel,Privately rented,D4,D7,2.966242995192956
Multi-family,F,Wood fuel,Privately rented,D5,D7,4.519860183372868
Multi-family,F,Wood fuel,Privately rented,D6,D7,6.1437819632257265
Multi-family,F,Wood fuel,Privately rented,D7,D7,8.722446420951321
Multi-family,F,Wood fuel,Privately rented,D8,D7,11.281365976094616
Multi-family,F,Wood fuel,Privately rented,D9,D7,19.921205165624333
Single-family,F,Oil fuel,Privately rented,D1,D7,184.19281972535723
Single-family,F,Oil fuel,Privately rented,D10,D7,1562.8399222227172
Single-family,F,Oil fuel,Privately rented,D2,D7,160.33145605239514
Single-family,F,Oil fuel,Privately rented,D3,D7,203.1226851868866
Single-family,F,Oil fuel,Privately rented,D4,D7,272.37756326939535
Single-family,F,Oil fuel,Privately rented,D5,D7,390.6496137360234
Single-family,F,Oil fuel,Privately rented,D6,D7,475.1356430020903
Single-family,F,Oil fuel,Privately rented,D7,D7,561.7016053521006
Single-family,F,Oil fuel,Privately rented,D8,D7,679.058457143034
Single-family,F,Oil fuel,Privately rented,D9,D7,960.5826995511497
Single-family,F,Wood fuel,Privately rented,D1,D7,76.92635417457002
Single-family,F,Wood fuel,Privately rented,D10,D7,652.7050161581919
Single-family,F,Wood fuel,Privately rented,D2,D7,66.96088583692557
Single-family,F,Wood fuel,Privately rented,D3,D7,84.83222986039677
Single-family,F,Wood fuel,Privately rented,D4,D7,113.75586156132518
Single-family,F,Wood fuel,Privately rented,D5,D7,163.15104241970218
Single-family,F,Wood fuel,Privately rented,D6,D7,198.4358174712773
Single-family,F,Wood fuel,Privately rented,D7,D7,234.58925650939324
Single-family,F,Wood fuel,Privately rented,D8,D7,283.6022134701636
Single-family,F,Wood fuel,Privately rented,D9,D7,401.1780973320079
Multi-family,F,Oil fuel,Privately rented,D1,D8,39.127004082083864
Multi-family,F,Oil fuel,Privately rented,D10,D8,514.6929587453956
Multi-family,F,Oil fuel,Privately rented,D2,D8,18.085287867189873
Multi-family,F,Oil fuel,Privately rented,D3,D8,25.004107025492782
Multi-family,F,Oil fuel,Privately rented,D4,D8,31.026472183957427
Multi-family,F,Oil fuel,Privately rented,D5,D8,33.16663136845119
Multi-family,F,Oil fuel,Privately rented,D6,D8,51.11773937892916
Multi-family,F,Oil fuel,Privately rented,D7,D8,85.36486203708638
Multi-family,F,Oil fuel,Privately rented,D8,D8,129.510081307036
Multi-family,F,Oil fuel,Privately rented,D9,D8,215.1017240293383
Multi-family,F,Wood fuel,Privately rented,D1,D8,3.4249873654535317
Multi-family,F,Wood fuel,Privately rented,D10,D8,45.053714746283475
Multi-family,F,Wood fuel,Privately rented,D2,D8,1.5830980137341606
Multi-family,F,Wood fuel,Privately rented,D3,D8,2.1887377440680256
Multi-family,F,Wood fuel,Privately rented,D4,D8,2.7159062575227466
Multi-family,F,Wood fuel,Privately rented,D5,D8,2.9032453686791477
Multi-family,F,Wood fuel,Privately rented,D6,D8,4.474597931292836
Multi-family,F,Wood fuel,Privately rented,D7,D8,7.47242424483457
Multi-family,F,Wood fuel,Privately rented,D8,D8,11.33668172612703
Multi-family,F,Wood fuel,Privately rented,D9,D8,18.82895724758794
Single-family,F,Oil fuel,Privately rented,D1,D8,117.16533640675048
Single-family,F,Oil fuel,Privately rented,D10,D8,1480.9596082042958
Single-family,F,Oil fuel,Privately rented,D2,D8,146.23690525600855
Single-family,F,Oil fuel,Privately rented,D3,D8,203.5269033120166
Single-family,F,Oil fuel,Privately rented,D4,D8,216.22128015776156
Single-family,F,Oil fuel,Privately rented,D5,D8,300.24973001943954
Single-family,F,Oil fuel,Privately rented,D6,D8,409.61461367541796
Single-family,F,Oil fuel,Privately rented,D7,D8,544.3511062325305
Single-family,F,Oil fuel,Privately rented,D8,D8,705.615720493605
Single-family,F,Oil fuel,Privately rented,D9,D8,912.0552477863429
Single-family,F,Wood fuel,Privately rented,D1,D8,48.93297240819386
Single-family,F,Wood fuel,Privately rented,D10,D8,618.5084929413916
Single-family,F,Wood fuel,Privately rented,D2,D8,61.074432672730715
Single-family,F,Wood fuel,Privately rented,D3,D8,85.00104766069916
Single-family,F,Wood fuel,Privately rented,D4,D8,90.30273168246129
Single-family,F,Wood fuel,Privately rented,D5,D8,125.39640311024965
Single-family,F,Wood fuel,Privately rented,D6,D8,171.07159168125258
Single-family,F,Wood fuel,Privately rented,D7,D8,227.3429879394905
Single-family,F,Wood fuel,Privately rented,D8,D8,294.69359829971074
Single-family,F,Wood fuel,Privately rented,D9,D8,380.9110752666793
Multi-family,F,Oil fuel,Privately rented,D1,D9,34.573231801734025
Multi-family,F,Oil fuel,Privately rented,D10,D9,562.8642715636154
Multi-family,F,Oil fuel,Privately rented,D2,D9,19.548609208747028
Multi-family,F,Oil fuel,Privately rented,D3,D9,24.597779698509346
Multi-family,F,Oil fuel,Privately rented,D4,D9,21.95835410140491
Multi-family,F,Oil fuel,Privately rented,D5,D9,31.088221154147202
Multi-family,F,Oil fuel,Privately rented,D6,D9,50.93456202246649
Multi-family,F,Oil fuel,Privately rented,D7,D9,74.13496851350742
Multi-family,F,Oil fuel,Privately rented,D8,D9,112.45581302729474
Multi-family,F,Oil fuel,Privately rented,D9,D9,206.15740929766815
Multi-family,F,Wood fuel,Privately rented,D1,D9,3.026372319624036
Multi-family,F,Wood fuel,Privately rented,D10,D9,49.270396847309954
Multi-family,F,Wood fuel,Privately rented,D2,D9,1.7111900367246633
Multi-family,F,Wood fuel,Privately rented,D3,D9,2.1531698289207983
Multi-family,F,Wood fuel,Privately rented,D4,D9,1.9221273677302488
Multi-family,F,Wood fuel,Privately rented,D5,D9,2.721311461618774
Multi-family,F,Wood fuel,Privately rented,D6,D9,4.458563477691286
Multi-family,F,Wood fuel,Privately rented,D7,D9,6.489414062072888
Multi-family,F,Wood fuel,Privately rented,D8,D9,9.843834145396597
Multi-family,F,Wood fuel,Privately rented,D9,D9,18.046015500135386
Single-family,F,Oil fuel,Privately rented,D1,D9,118.57360321943752
Single-family,F,Oil fuel,Privately rented,D10,D9,1430.3452111282927
Single-family,F,Oil fuel,Privately rented,D2,D9,134.94003697484754
Single-family,F,Oil fuel,Privately rented,D3,D9,166.99372888849166
Single-family,F,Oil fuel,Privately rented,D4,D9,145.5501830039522
Single-family,F,Oil fuel,Privately rented,D5,D9,189.08781329936565
Single-family,F,Oil fuel,Privately rented,D6,D9,313.54659040239255
Single-family,F,Oil fuel,Privately rented,D7,D9,393.3612169169702
Single-family,F,Oil fuel,Privately rented,D8,D9,535.3909735780194
Single-family,F,Oil fuel,Privately rented,D9,D9,827.0214398768909
Single-family,F,Wood fuel,Privately rented,D1,D9,49.5211214563847
Single-family,F,Wood fuel,Privately rented,D10,D9,597.3698783004598
Single-family,F,Wood fuel,Privately rented,D2,D9,56.3564046206284
Single-family,F,Wood fuel,Privately rented,D3,D9,69.743319813241
Single-family,F,Wood fuel,Privately rented,D4,D9,60.78762974925077
Single-family,F,Wood fuel,Privately rented,D5,D9,78.97070101674271
Single-family,F,Wood fuel,Privately rented,D6,D9,130.94970856892076
Single-family,F,Wood fuel,Privately rented,D7,D9,164.28351732827585
Single-family,F,Wood fuel,Privately rented,D8,D9,223.60087497841093
Single-family,F,Wood fuel,Privately rented,D9,D9,345.39752574933976
Multi-family,F,Oil fuel,Privately rented,D1,D10,63.285869789663195
Multi-family,F,Oil fuel,Privately rented,D10,D10,1015.0789678437287
Multi-family,F,Oil fuel,Privately rented,D2,D10,31.76993771011553
Multi-family,F,Oil fuel,Privately rented,D3,D10,25.2309181606323
Multi-family,F,Oil fuel,Privately rented,D4,D10,32.43458114489795
Multi-family,F,Oil fuel,Privately rented,D5,D10,50.755640745744095
Multi-family,F,Oil fuel,Privately rented,D6,D10,68.81609968902477
Multi-family,F,Oil fuel,Privately rented,D7,D10,96.3381938506296
Multi-family,F,Oil fuel,Privately rented,D8,D10,149.82922017032107
Multi-family,F,Oil fuel,Privately rented,D9,D10,276.8647967194999
Multi-family,F,Wood fuel,Privately rented,D1,D10,5.539736801381746
Multi-family,F,Wood fuel,Privately rented,D10,D10,88.85506880385769
Multi-family,F,Wood fuel,Privately rented,D2,D10,2.7809856085612217
Multi-family,F,Wood fuel,Privately rented,D3,D10,2.2085916861323693
Multi-family,F,Wood fuel,Privately rented,D4,D10,2.8391652576313575
Multi-family,F,Wood fuel,Privately rented,D5,D10,4.442901580580549
Multi-family,F,Wood fuel,Privately rented,D6,D10,6.023826191247395
Multi-family,F,Wood fuel,Privately rented,D7,D10,8.432976265108573
Multi-family,F,Wood fuel,Privately rented,D8,D10,13.11532017587007
Multi-family,F,Wood fuel,Privately rented,D9,D10,24.235395807811216
Single-family,F,Oil fuel,Privately rented,D1,D10,108.78888351889655
Single-family,F,Oil fuel,Privately rented,D10,D10,1347.4836457798792
Single-family,F,Oil fuel,Privately rented,D2,D10,72.65163999261408
Single-family,F,Oil fuel,Privately rented,D3,D10,77.79312505369207
Single-family,F,Oil fuel,Privately rented,D4,D10,89.10851619622703
Single-family,F,Oil fuel,Privately rented,D5,D10,100.37602295073465
Single-family,F,Oil fuel,Privately rented,D6,D10,124.65253100751538
Single-family,F,Oil fuel,Privately rented,D7,D10,169.75646402390538
Single-family,F,Oil fuel,Privately rented,D8,D10,309.5821102926288
Single-family,F,Oil fuel,Privately rented,D9,D10,538.7142715346131
Single-family,F,Wood fuel,Privately rented,D1,D10,45.43462767066041
Single-family,F,Wood fuel,Privately rented,D10,D10,562.7635449322227
Single-family,F,Wood fuel,Privately rented,D2,D10,30.342256542727718
Single-family,F,Wood fuel,Privately rented,D3,D10,32.489548176470464
Single-family,F,Wood fuel,Privately rented,D4,D10,37.215312122927955
Single-family,F,Wood fuel,Privately rented,D5,D10,41.92107761668617
Single-family,F,Wood fuel,Privately rented,D6,D10,52.05992700116423
Single-family,F,Wood fuel,Privately rented,D7,D10,70.89714948930686
Single-family,F,Wood fuel,Privately rented,D8,D10,129.2939816980446
Single-family,F,Wood fuel,Privately rented,D9,D10,224.988818308763
Multi-family,G,Oil fuel,Privately rented,D1,D1,61.20676668160624
Multi-family,G,Oil fuel,Privately rented,D10,D1,387.7530099656611
Multi-family,G,Oil fuel,Privately rented,D2,D1,52.008043431414414
Multi-family,G,Oil fuel,Privately rented,D3,D1,55.27544217862203
Multi-family,G,Oil fuel,Privately rented,D4,D1,54.25123297578093
Multi-family,G,Oil fuel,Privately rented,D5,D1,68.3383128403464
Multi-family,G,Oil fuel,Privately rented,D6,D1,79.57608110071237
Multi-family,G,Oil fuel,Privately rented,D7,D1,108.28021368747872
Multi-family,G,Oil fuel,Privately rented,D8,D1,141.78191979122877
Multi-family,G,Oil fuel,Privately rented,D9,D1,216.24055283010463
Multi-family,G,Wood fuel,Privately rented,D1,D1,5.357742241777044
Multi-family,G,Wood fuel,Privately rented,D10,D1,33.94200990351511
Multi-family,G,Wood fuel,Privately rented,D2,D1,4.552530811734616
